Standort;Straße;Hausnummer;PLZ;Ort;Station ID;Device ID;icon;slug;Name;Gerätetyp;Hersteller;Sensorart;Typ;Sensortyp;Sensorstatus;Sensormodell;Installationshöhe;Installationsdatum;Kommune
51.548453, 7.56136;Am Wirksfeld;152;44328;Dortmund;DOTAWS;41461723-0cd8-47eb-8765-79c803565118;devices;dec004d15;DEC004D15;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-06-03;Dortmund
51.497220717885334, 7.454530990428902;Westfalenhalle;;44139;Dortmund;DOTWFP;5215ef25-b130-46d0-9de6-9291a377551e;devices;dec0054a4;DEC0054A4;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-06;Dortmund
51.48884364200726, 7.513087598374727;Phoenixstraße;18;44263;Dortmund;DOTPHX;761a315d-3736-4ce1-8251-e88ab120f86b;devices;dec0054bc;DEC0054BC;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-14;Dortmund
51.546666, 7.531488;Schönwaldstraße;6;44328;Dortmund;DOTSWS;87985115-1540-4e7a-83b0-d885d5ab6c59;devices;dec0054bb;DEC0054BB;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
51.500273218, 7.4032603145;Trippestraße;23;44149;Dortmund;DOTTPS;8b581a26-0faa-4886-817c-fb60dfd3d322;devices;dec0054bf;DEC0054BF;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
51.473925, 7.443971;Am Kohlufer;;44225;Dortmund;DOTAKU;92f77633-2256-4717-b795-b9586f84c65d;devices;dec0054c3;DEC0054C3;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-08;Dortmund
51.48268, 7.56111;Schwerter Straße;281;44287;Dortmund;DOTSTS;a5234aae-407f-4074-9d99-59fe754e19b6;devices;dec0054c8;DEC0054C8;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-12;Dortmund
51.4231, 7.47113;Hohensyburgstraße / Auf der Wittbräucke;;44265;Dortmund;DOTHSB;a77778cf-b4ea-4c61-a8f8-8f5ac03f98d2;devices;dec0054ae;DEC0054AE;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-09;Dortmund
51.5363, 7.44981;Fredenbaumpark Westerholz / Münsterstraße;;44147;Dortmund;DOTFBK;c888fbd5-57f4-40b9-8448-75e3ac8d0afb;devices;dec0054c0;DEC0054C0;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2024-08-09;Dortmund
51.47025681703958, 7.525794325155166;Bernsteinweg;7;44267;Dortmund;DOTBSW;e59eebba-ab56-4f72-bc01-372fc0c8c983;devices;dec004d1c;DEC004D1C;SHT35;Decentlab;Lufttemperatur-/Feuchtigkeitssensor;Klimasensor;Klimasensoren;aktiv;SHT35;3.3m;2025-03-13;Dortmund
