Wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
101005;132;91;156;165;90;466;442;151;288
101006;149;99;201;136;106;443;390;176;306
101007;;;;;;;;;
101008;117;60;165;144;122;403;437;138;290
101009;180;126;208;172;112;516;350;195;218
101010;210;166;279;182;159;592;346;134;174
101011;102;65;150;128;100;396;458;178;329
101012;11;9;22;22;15;59;120;54;49
101013;;;;;;;;;
101014;;;;;;;;;
102001;42;32;78;59;34;204;202;126;196
102002;88;70;135;151;114;501;828;271;164
102003;128;96;168;167;107;540;600;351;226
102004;14;14;21;28;25;42;16;3;
