Wohnquartiere;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
97001001;126;117;280;116;91;587;563;199;335
97001002;;;;;;;;;
98001001;54;34;76;93;78;311;246;116;131
98001002;100;66;98;108;98;456;353;177;159
98001003;92;82;148;134;107;476;434;240;170
98002001;274;199;359;229;151;722;321;123;170
98002002;238;169;312;221;125;562;290;91;84
98003001;142;53;118;180;178;631;575;262;241
98003002;130;103;212;167;132;586;623;346;361
98003003;132;77;168;165;133;592;636;302;324
98003004;3;3;;;;14;11;20;91
98004001;138;67;110;147;142;429;278;151;143
101001001;145;105;230;188;114;501;458;174;171
101002001;69;42;110;89;70;314;371;161;178
101002002;215;166;317;236;177;766;649;257;338
101002003;;;;;;;;;
101003001;130;81;179;142;103;460;444;185;250
101003002;139;102;233;131;86;459;406;232;300
101003003;;;;;;;;;
101004001;105;73;180;159;104;433;417;156;196
101004002;100;62;133;113;90;428;439;197;352
101004003;;;;;;;;;
101005001;168;121;234;174;123;485;341;219;198
101005002;238;183;309;229;153;622;446;179;181
102001001;44;34;71;67;33;197;208;117;189
102001002;122;96;173;149;86;511;577;387;237
102002001;123;71;154;138;123;529;734;381;165
