wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
091004001;200;177;371;331;236;859;644;305;221
091004002;69;64;108;147;147;421;421;185;179
092001001;142;106;289;94;65;617;506;178;170
092001002;;;;;;;6;;
093001001;83;51;99;123;90;395;446;216;207
093001002;100;77;196;206;123;508;496;213;178
093002001;136;102;228;162;159;713;493;224;219
093002002;131;92;187;172;169;640;441;159;155
093003001;66;83;147;107;84;287;228;87;59
093005001;;;;;;;;;
093005002;61;45;91;125;119;370;245;90;84
093005003;;;;;;;;;
093005004;110;72;123;182;165;628;381;162;150
094001001;61;48;116;108;79;257;180;78;69
094001002;;;;;;;;;
094001003;124;86;176;213;208;764;624;256;205
095001001;;;;7;4;13;9;;
095001002;140;94;158;119;163;800;513;222;224
095001003;154;90;190;167;151;699;530;219;218
095001004;155;105;214;195;222;920;617;309;386
095002001;178;116;225;182;186;771;532;245;214
095002002;;;;;;;;;
095002003;181;94;165;118;191;809;353;148;147
095003001;;;;;;;;;
095003002;46;30;51;48;54;234;280;164;234
095004001;68;74;154;103;65;364;478;229;335
095005001;50;49;103;99;83;369;369;205;172
096001001;45;37;116;51;18;197;274;140;160
096001002;70;47;136;98;68;417;519;211;256
096001003;103;53;137;111;103;462;537;217;250
096001004;96;86;161;80;36;353;398;246;229
096001005;;;3;;;;6;;
096002001;43;52;90;71;20;216;184;103;308
096003001;134;114;230;181;136;674;563;307;331
097001001;99;111;273;178;90;571;592;202;345
097001002;;;;;;;;;
098001001;54;40;74;83;71;317;249;138;118
098001002;99;82;120;147;135;509;360;214;176
098001003;82;81;161;139;102;491;408;263;178
098002001;198;216;409;261;134;723;367;113;175
098002002;165;179;348;232;124;595;274;111;84
098003001;132;84;124;138;147;661;547;292;235
098003002;102;94;253;156;121;610;617;333;355
098003003;119;88;148;160;128;607;590;347;306
098003004;;3;;;;13;12;30;87
098004001;136;69;117;135;130;484;292;148;142
101001001;144;109;241;196;107;501;441;189;151
101002001;79;45;101;89;58;329;350;192;147
101002002;192;166;336;240;155;822;598;293;304
101002003;;;;;;;;;
101003001;112;89;187;158;111;463;440;226;207
101003002;91;86;193;144;75;411;366;235;260
101003003;;;;;;;;;
101004001;79;75;176;151;107;475;414;182;191
101004002;81;93;153;108;83;439;415;234;316
101004003;;;;;;;;;
101005001;142;112;252;196;111;508;335;215;205
101005002;223;203;362;260;167;719;429;208;145
102001001;33;41;65;74;34;195;206;103;186
102001002;122;75;189;156;76;520;471;425;271
102002001;101;80;148;131;127;541;571;479;199
