wohnquartier;unter_6_jahre;6_ bis_unter_10_jahre;10_ bis_unter_18_jahre;18_ bis_unter_25_jahre;25_ bis_unter_30_jahre;30_ bis_unter_50_jahre;50_ bis_unter_65_jahre;65_ bis_unter_75_jahre;75_jahre_und_aelter
036004;57;161;209;725;394;204;191;204;191
036005;72;114;186;670;367;208;163;208;163
036006;55;140;197;673;274;131;119;131;119
036007;83;168;280;817;253;116;92;116;92
036008;84;167;256;734;308;142;141;142;141
036009;125;335;346;935;445;225;202;225;202
036010;47;175;250;657;306;129;120;129;120
036011;135;144;172;796;312;114;99;114;99
036012;42;264;182;376;170;112;238;112;238
036013;56;737;411;862;230;104;102;104;102
036014;0;0;0;0;0;0;0;0;0
036015;107;91;82;363;342;238;223;238;223
036016;51;57;64;365;293;170;135;170;135
036017;117;127;125;513;394;213;265;213;265
036018;132;212;176;539;341;87;87;87;87
036019;120;144;131;617;341;173;171;173;171
036020;61;160;209;564;271;167;268;167;268
036021;81;459;275;436;153;57;100;57;100
036022;46;273;208;606;275;116;97;116;97
037001;121;191;281;841;376;197;133;197;133
037002;37;77;124;373;180;58;53;58;53
037003;129;237;243;798;419;191;171;191;171
037004;156;259;313;941;435;209;229;209;229
037005;87;201;283;690;339;135;153;135;153
037006;97;191;342;815;349;126;127;126;127
037007;97;236;280;716;348;133;119;133;119
037008;158;253;335;892;438;190;215;190;215
037009;87;167;232;652;329;149;160;149;160
037010;146;161;211;775;333;184;219;184;219
037011;101;161;180;460;228;121;105;121;105
037012;168;203;220;731;389;144;97;144;97
037013;149;240;230;708;335;152;85;152;85
037014;0;0;0;0;0;0;0;0;0
037015;103;131;112;570;303;156;147;156;147
037016;52;55;52;255;246;112;111;112;111
038001;106;152;205;761;578;288;248;288;248
038002;0;0;0;0;0;0;0;0;0
041001;65;44;51;399;184;141;102;141;102
041002;120;68;83;761;343;199;233;199;233
041003;104;86;117;736;238;113;76;113;76
041004;130;117;152;995;490;329;232;329;232
041005;117;80;154;812;421;306;254;306;254
041006;68;71;82;454;277;162;172;162;172
041007;166;82;125;900;460;305;250;305;250
041008;105;88;118;760;434;278;216;278;216
041009;125;92;102;719;478;327;253;327;253
041010;0;0;0;0;0;0;0;0;0
042001;144;82;66;413;235;78;56;78;56
042002;75;105;109;366;206;102;65;102;65
042003;119;165;160;562;474;243;300;243;300
042004;68;66;61;296;167;61;38;61;38
042005;69;139;155;611;438;249;246;249;246
042006;69;72;95;497;333;190;222;190;222
042007;0;0;0;0;0;0;0;0;0
042008;58;37;59;438;146;66;48;66;48
043001;0;0;0;0;0;0;0;;
043002;42;32;11;158;112;31;44;31;44
043003;141;81;61;453;377;235;273;235;273
043004;100;56;70;410;86;36;27;36;27
043005;129;89;88;645;453;313;830;313;830
043006;64;60;124;564;199;90;163;90;163
044001;122;44;21;393;224;114;104;114;104
044002;177;79;76;886;446;296;252;296;252
044003;78;46;49;333;253;150;122;150;122
044004;52;29;32;326;191;161;142;161;142
044005;0;0;0;0;0;0;0;0;0
051001;0;0;0;0;0;0;0;0;0
051002;0;0;0;0;0;0;0;0;0
051003;67;47;33;197;159;122;160;122;160
051004;193;111;98;608;466;298;440;298;440
051005;127;95;56;308;281;150;162;150;162
051006;33;39;59;229;171;120;141;120;141
052001;0;0;0;0;0;0;0;0;0
052002;232;131;67;491;362;104;98;104;98
052003;196;192;125;616;534;268;285;268;285
052004;0;0;0;0;0;0;0;0;0
053001;0;0;0;0;0;0;0;0;0
053002;77;44;30;212;199;105;82;105;82
053003;121;76;60;386;257;206;199;206;199
053004;74;38;43;279;189;144;215;144;215
053005;187;134;58;543;354;187;192;187;192
053006;265;176;133;784;541;322;272;322;272
054001;0;0;0;0;0;0;0;0;0
054002;200;103;51;455;435;252;242;252;242
054003;286;138;83;672;529;287;376;287;376
054004;272;91;50;600;250;47;23;47;23
054005;276;78;52;674;281;61;46;61;46
055001;0;0;0;0;0;0;0;0;0
055002;211;136;65;676;445;248;187;248;187
055003;172;120;81;603;569;338;301;338;301
055004;91;78;67;370;306;203;208;203;208
055005;0;0;0;0;0;0;0;0;0
055006;0;0;0;0;0;0;0;0;0
056001;145;103;54;456;401;272;235;272;235
056002;0;0;0;0;0;0;0;0;0
061001;0;6;.;19;12;.;0;.;0
