Wohnquartier;unter_6_Jahren;6_bis_unter_10_jahre;10_bis_unter_18_jahre;18_bis_unter_25_jahre;25_bis_unter_30_jahre;30_bis_unter_50_jahre;50_bis_unter_65_jahre;65_bis unter_75_jahre;75_jahre_und_aelter
098005;108;88;147;139;112;499;442;229;168
098006;123;49;112;178;169;598;597;251;240
098007;142;113;220;180;135;596;619;350;355
098008;129;64;106;144;139;412;288;154;149
098009;132;73;162;166;132;595;635;288;329
098010;6;;4;;;14;14;18;86
101001;51;47;100;73;31;154;110;17;16
101002;97;67;119;131;83;350;339;146;166
101003;68;46;102;100;72;316;372;152;186
101004;200;164;297;224;193;727;666;237;344
101005;135;78;167;149;89;467;433;168;271
101006;146;99;203;140;88;458;383;184;297
101007;;;;;;;;;
101008;115;67;176;159;101;423;415;146;219
101009;161;117;219;178;110;494;350;214;207
101010;243;173;289;205;159;577;359;145;162
101011;102;66;156;120;92;415;456;197;378
101012;15;11;18;23;11;62;119;57;49
101013;;;;;;;;;
101014;;;;;;;;;
102001;54;22;78;70;38;213;207;119;193
102002;94;70;130;125;106;491;759;330;158
102003;119;98;163;160;94;533;569;380;229
102004;13;6;17;18;17;42;18;;
